,단어명,물리명,영문명,금칙어
518,M10월,MMN10,MOBILIZATION 10 MONTH,
519,M11월,MMN11,MOBILIZATION 11 MONTH,
520,M12월,MMN12,MOBILIZATION 12 MONTH,
521,M1530일,MD1530,MOBILIZATION 1530 DAY,
522,M1월,MMN1,MOBILIZATION 1 MONTH,
523,M1일,MD1,MOBILIZATION 1 DAY,"M1,M1일"
524,M2월,MMN2,MOBILIZATION 2 MONTH,
525,M2일,MD2,MOBILIZATION 2 DAY,"M2,M2일"
526,M30일,MD30,MOBILIZATION 30 DAY,"M30,M30일"
527,M364일,MD364,MOBILIZATION 364 DAY,"M364,M364일"
528,M3월,MMN3,MOBILIZATION 3 MONTH,
529,M3일,MD3,MOBILIZATION 3 DAY,"M3,M3일"
530,M4월,MMN4,MOBILIZATION 4 MONTH,
531,M4일,MD4,MOBILIZATION 4 DAY,"M4,M4일"
532,M5월,MMN5,MOBILIZATION 5 MONTH,
533,M5일,MD5,MOBILIZATION 5 DAY,"M5,M5일"
534,M6월,MMN6,MOBILIZATION 6 MONTH,
535,M6일,MD6,MOBILIZATION 6 DAY,"M6,M6일"
536,M714일,MD714,MOBILIZATION 714 DAY,
537,M7월,MMN7,MOBILIZATION 7 MONTH,
538,M7일,MD7,MOBILIZATION 7 DAY,
539,M8월,MMN8,MOBILIZATION 8 MONTH,
540,M8일,MD8,MOBILIZATION 8 DAY,
541,M9월,MMN9,MOBILIZATION 9 MONTH,
542,MAC,MAC,MEDIA ACCESS CONTROL,
543,MAC주소,MACA,MEDIA ACCESS CONTROL ADDRESS,"MACADDRESS,MAC ADDRESS"
544,MAIKIT,MAIKIT,MAIKIT,MA-IKIT
545,MF,MF,MAINTENANCE FLOAT,
546,MICLIC,MICLIC,MINE CLEARING LINE CHARGE,
547,MISSIONKILL,MSNKILL,MISSION KILL,
548,MOPP구분코드,MOPPSECCD,MISSION ORIENTED PROTECTIVE POSTURE SECTION CODE,
549,M월,MMN,MOBILIZATION MONTH,
550,M일,MDAY,MOBILIZATION DAY,"M-DAY,동원개시일,MDAY,동원일자"
551,M일코드,MDAYCD,MOBILIZATION DAY CODE,
552,M표적,TGTM,TARGET M,
553,NA2,NA2,NUMBER OF AIRCRAFT,
554,NARR,NARR,NARRATION,
555,NBCRAMS,NBCRAMS,NUCLEAR BIOLOGICAL AND CHEMICAL REPORTING AND MODELING SOFTWARE,
556,NOT,NOT,NOT,
557,N표적,TGTN,TARGET N,
558,OCR,OCR,OPTICAL CHARACTER READER,
559,OCS,OCSYS,ORDER COMMUNICATION SYSTEM,
560,OCX,OCX,OBJECT LINKING AND EMBEDDING CONTROL EXTENSION,
561,OFF,OFF,OFF,
562,OLE개체,OLEI,OBJECT LINKING AND EMBEDDING INDIVIDUAL,
563,ON,ON,ON,
564,OSPF,OSPF,OPEN SHORTEST PATH FIRST,
565,P3C,P3C,PATROL AIRCRAFT-3C,
566,PAC-2,PAC2,PATRIOT ADVANCED CAPBILITY 2,
567,PAC-3,PAC3,PATRIOT ADVANCED CAPBILITY 3,
568,PACS,PACS,PICTURE ARCHIVING AND COMMUNICATION SYSTEM,
569,PARA번호,PARANO,PARA NUMBER,
570,PART자원,PTRSC,PART RESOURCE,
571,PCH,PCH,"PACKING, CRATING, HANDLING",
572,PDA,PDA,PERSONAL DIGITAL ASSISTANCE,
573,PERT,PERT,PROGRAM EVALUATION AND REVIEW TECHNIQUE,
574,PES,PES,POTENTIAL EXPLOSIVE SITE,
575,PIN번호,PINNO,PIN Number,
576,PLC,PWLVCV,POWER LEVEL CURVE,
577,PMESII,PMESII,POLITICAL MILITARY ECONOMIC SOCIAL INFRASTRUCTURE INFORMATION,
578,POD,POD,POD,
579,POL장비,POLEQ,PETROLEUM OIL LUBRICANT FOR EQUIPMENT,P.O.L장비
580,POP3,POP3,POST OFFICE PROTOCOL 3,
581,PPD,PPD,TUBERCUKIN SKIN TEST,
582,PRISM,PRISM,PRISM,
583,PROXY,PRXY,PROXY,
584,PSI,PSI,POUNDS PER SQUARE INCH,
585,PX,PX,POST EXCHANGE,
586,QR코드,QRCD,Quick Response Code,
587,Q코드구분코드,QCDDVSCD,Q CODE DIVISION CODE,
588,Q코드부호,QCDSGN,Q CODE SIGN,
589,RAAM,RAAM,REMOTE ANTI ARMOR MINE,
590,RAM,RAM,"RELIABILITY, AVAILABILITY, MAINTAINABILITY",
591,RFID,RFID,RADIO FREQUENCY IDENTIFICATION,
592,RGB,RGB,RED GREEN BLUE,
593,RGB색상번호,RGBCLNO,RGB COLOR TONE NUMBER,
594,ROTC,ROTC,RESERVE OFFICERS TRAINING CORPS,RT
595,RT박스,RTBOX,ARTILLERY BOX,RTBOX
596,SABSEL,SABSEL,SABRE SELECTOR,
597,SAMFILE,SAMFL,SEAUENTIAL ACCESS METHOD FILE,
598,SEMIS,SEMIS,SHIP ESTIMATED MOVEMENT INFORMATION SYSTEM,
599,SF,SF,SHIPS FILED,
600,SIDE수액,SIDIJ,SIDE INJECTION,
601,SID번호,SIDNO,SET ID NUMBER,
602,SMR부호,SMRS,SOURCE MAINTENANCE AND RECOVERABILITY SIGN,
603,SMS,SMS,SHORT MESSAGE SERVICE,
604,SMTP,SMTP,SIMPLE MAIL TRANSFER PROTOCOL,
605,SNOMED,SNOMED,SYSTEMATIZED NOMENCLATURE OF MEDICINE,
606,SNS,SNS,SOCIAL NETWORK SERVICE,
607,SOFA,SOFA,STATUS OF FORCES AGREEMENT,"한미행정협정,한/미행정협정,주한미군지휘협정,주둔군지위협정"
608,SOMS-B,SOMSB,SOMS-B,
609,SP번호,SPNO,SP NUMBER,
610,SQL,SQL,STRUCTURED QUERY LANGUAGE,
611,SWOT분석,SWOT,"STRENGTHS, WEAKNESSES, OPPORTUNITIES, THREATS ANALYSIS",
612,SW자원,SFTRSC,SOFTWARE RESOURCE,
613,T50,T50,T-50 AIRCRAFT,
614,TAV2S,TAV2S,TAV2S,
615,TBS,TBS,SEOUL TRAFFIC BROADCASTING SYSTEM,
616,TCPIP,TCPIP,TRANSMISSION CONTROL PROTOCOL/INTERNET PROTOCOL,
617,TGM,TGM,TERMINAL GUIDED MUNITION,
618,TLE,TLE,TWO LINE ELEMENT SET,
619,TN,TN,TAIL NUMBER,
620,TNS,TNS,TRANSPARENT NETWORK SUBSTRATE,
621,TNT폭약,TNT,TRINITRO TOLUENE,
622,TOPIS,TOPIS,TRANSPORT OPERATION AND INFORMATION SERVICE,
623,TPS830K,TPS830K,TPS-830K,
624,TRAY,TRAY,TRAY,
625,T박스,TBOX,T BOX,TBOX
626,UCC,UCC,USER CREATED CONTENTS,
627,UCMS보조속성구분코드,UCASSATRSCD,UCMS ASSISTANCE ATTRIBUTE SECTION CODE,
628,UNSPSC,UNSPSC,UNITED NATIONS STANDARD PRODUCTS AND SERVICE CLASSIFICATION,
629,UN국제생산물분류,UNCPC,UN CENTRAL PRODUCT CLASSIFICATON,
630,UN국제생산물분류코드,UNCPCCD,UN CENTRAL PRODUCT CLASSIFICATON CODE,
631,URI,URI,UNIFORM RESOURCE IDENTIFIER,
632,URL,URL,UNIFORM RESOURCE LOCATOR,
633,USN,USN,UBIQUITOUS SENSOR NETWORK,
634,UTMX좌표,UTMX,UNIVERSAL TRANSVERSE MERCATOR X COORDINATE SYSTEM,
635,UTMY좌표,UTMY,UNIVERSAL TRANSVERSE MERCATOR Y COORDINATE SYSTEM,
636,UTM좌표,UTM,UNIVERSAL TRANSVERSE MERCATOR,"UTM,지리좌표(UTM)"
637,U자,UTYP,U TYPE,유자
638,U자못,UNL,U NAIL,
639,U자철선코드,UTYPIWRCD,UTYP IRON WIRE CODE,
640,VAMOSC,VMOSC,VISIBILITY AND MANAGEMENT OF OPERATING AND SUPPORT COST,
641,VDRL,VDRL,VENEREAL DISEASE RESEARCH LABORATORY,
642,VO,VLOBJ,VALUE OBJECT,
643,VOD,VOD,VIDEO ON DEMAND,
644,VoIP,VOIP,Voice over Internet Protocol,
645,V표시용기,VIIST,V INDICATION INSTRUMENT,
646,WB,WB,WB,
647,WINJMEM,WINJMEM,WINDOWED JOINT MUNITION EFFECTIVENESS MANUAL,
648,WORKLIST,WKLST,WORK LIST,
649,WPAN,WPAN,WIRELESS PERSONAL AREA NETWORK,
650,WRSA탄약,WRSAAMN,WAR RESERVED STOCK FOR ALLIED AMMUNITION,
651,WSDL,WSDL,WEB SERVICES DEION LANGUAGE,
652,X-10년도,XYRM10,X-10 YEAR,"X-10,X-10년,Y-10,Y-10년,Y-10년도"
653,X-1년도,XYRM1,X-1 YEAR,"X-1,X-1년,Y-1,Y-1년,Y-1년도"
654,X-2년도,XYRM2,X-2 YEAR,"X-2,X-2년,Y-2,Y-2년,Y-2년도"
655,X-3년도,XYRM3,X-3 YEAR,"X-3,X-3년,Y-3,Y-3년,Y-3년도"
656,X-4년도,XYRM4,X-4 YEAR,"X-4,X-4년,Y-4,Y-4년,Y-4년도"
657,X-5년도,XYRM5,X-5 YEAR,"X-5,X-5년,Y-5,Y-5년,Y-5년도"
658,X-6년도,XYRM6,X-6 YEAR,"X-6,X-6년,Y-6,Y-6년,Y-6년도"
659,X-7년도,XYRM7,X-7 YEAR,"X-7,X-7년,Y-7,Y-7년,Y-7년도"
660,X-8년도,XYRM8,X-8 YEAR,"X-8,X-8년,Y-8,Y-8년,Y-8년도"
661,X-9년도,XYRM9,X-9 YEAR,"X-9,X-9년,Y-9,Y-9년,Y-9년도"
662,X1년도,XYR1,X1 YEAR,"X1,X1년,Y1,Y1년,Y1년도,X_1,기준년도1,X1년,Y1년"
663,X2년도,XYR2,X2 YEAR,"X2,X2년,Y2,Y2년,Y2년도,X_2,기준년도2,X2년,Y2년"
664,X3년도,XYR3,X3 YEAR,"X3,X3년,Y3,Y3년,Y3년도,X_3,기준년도3,Y3년"
665,X400,X400,X.400,
666,X4년도,XYR4,X4 YEAR,"X4,X4년,Y4,Y4년,Y4년도,X_4,기준년도4,Y4년"
667,X500,X500,X.500,
668,X5년도,XYR5,X5 YEAR,"X5,X5년,Y5,Y5년,Y5년도,X_5,기준년도5"
669,X6년도,XYR6,X6 YEAR,"X6,X6년,Y6,Y6년,Y6년도,X_6"
670,X7년도,XYR7,X7 YEAR,"X7,X7년,Y7,Y7년,Y7년도,X_7"
671,X8년도,XYR8,X8 YEAR,"X8,X8년,Y8,Y8년,Y8년도,X_8"
672,X9년도,XYR9,X9 YEAR,"X9,X9년,Y9,Y9년,Y9년도,X_9"
673,XML,XML,EXTENSIBLE MARKUP LANGUAGE,
674,XMS,XMS,Extension memory size,
675,XMX,XMX,Extension maximum memory size,
676,XSL,XSL,EXTENSIBLE STYLESHEET LANGUAGE,
677,XY좌표,XYCOORD,"X, Y COORDINATES",좌표XY
678,X년도,XYR,X YEAR,"Y년,X0,Y0,X0년,Y0년,기준연도,기준년도,Y0년도,Y년도,X년"
679,X좌표,XCOORD,X COORDINATES,좌표X
680,X축,XAX,X AXIS,
681,Y좌표,YCOORD,Y COORDINATES,좌표Y
682,Y축,YAX,Y AXIS,
683,Z좌표,ZCOORD,Z COORDINATES,좌표Z
684,Z축,ZAX,Z AXIS,
685,pdf,PDF,PDF,
686,가,TMP,TEMPORARY,
687,가감,ADDSBTR,ADDITION AND SUBTRACTION,
688,가격,PRC,PRICE,가
689,가격개정,PRCADJ,PRICE ADJUSTMENT,
690,가격및가용성자료,PNA,PRICE AND AVAILABILITY DATA,
691,가격자료,PRCLST,PRICE LIST,PRICELIST
692,가격정보,PRCSINF,PRICE AND COST INFORMATION,
693,가격조건코드,PRCNDCD,PRICE CONDITION CODE,
694,가격조사,PCI,PRICE AND COST INVESTIGATION,
695,가계,HSHACC,HOUSEHOLD ACCOUNT,
696,가계도,FMLTR,FAMILY TREE,
697,가계약,DRFCTR,DRAFT CONTRACT,
698,가계지원비,PMSHS,PAYMENT MADE TO SUPPORT HOUSEHOLD SPENDING,
699,가공,PRCSNG,PROCESSING,
700,가공비,PRCST,PROCESSING COSTS,
701,가교각,TMPBGPR,TEMPORARY BRIDGE PIER,
702,가군,GRPGA,GA GROUP,
703,가급,CLSGA,GA CLASS,
704,가능,PSBLT,POSSIBILITY,
705,가능성,PSBLTY,POSSIBILITY,
706,가능일자,PSBLTDT,POSSIBILITY DATE,가능일
707,가동,OPRTNG,OPERATING,
708,가동률,AVLRT,AVAILABLE RATE,가동율
709,가동탄약보급소,MASP,MOBILE AMMUNITION SUPPLY POINT,
710,가두,STRT,STREET,
711,가두판매,STRPDL,STREET PEDDLING,
712,가등기,PRSRGST,PROVISIONAL REGISTRATION,
713,가로,HRZNT,HORIZONTAL,횡
714,가로수,STTREE,STREET TREE,
715,가맹점,FRNCHS,FRANCHISE,
716,가명,FLSNM,FALSE NAME,
717,가반식,MVBTY,MOVABLE TYPE,
718,가발,WIG,WIG,
719,가변,VRABL,VARIABLENESS,
720,가변메시지포맷,VMF,VARIABLE MESSAGE FORMAT,VMF
721,가변주파수,VF,VARIABLE FREQUENCY,VF
722,가변차로,CVROD,CHANGEABLE VEHICULAR ROAD,
723,가변필드,VRFLD,VARIABLE FIELD,
724,가보존,TMPPSV,TEMPORARY PRESERVATION,
725,가분급부,DBN,DIVISIBLE BENEFIT,
726,가사,WSFS,WORDS OF A SONG,
727,가산,MTNST,MOUNTAINS AND STREAMS,
728,가산,ADTN,ADDITION,
729,가산금,ADDCHRG,ADDITIONAL CHARGES,
730,가산복무,ADDSVC,ADDITIONAL SERVICE,
731,가산수수료,ADDIFEE,ADDITIONAL FEE,
732,가산율,ADTNRT,ADDITION RATE,
733,가산점,ADDPNT,ADDITION POINT,
734,가상,VR,VIRTUAL,
735,가상적국,HES,HYPOTHETICAL ENEMY STATE,
736,가상적표적,ASHTR,ASSUMED HOSTILE TRACKS,
737,가상지휘소,VCP,VIRTUAL COMMAND POST,
738,가설,ERCT,ERECTION,
739,가설,TPCSTR,TEMPORARY CONSTRUCTION,
740,가속,ACLRTN,ACCELERATION,
741,가수,ADNUM,ADD NUMBER,
742,가수요,IMGDMD,IMAGINARY DEMAND,
743,가스,GAS,GAS,
744,가스발생기,GSGNR,GAS GENERATOR,"가스제너레이터,가스제네레이터"
745,가슴,BUST,BUST,
746,가슴둘레,CHSTCRCM,CHEST CIRCUMFERENCE,흉위
747,가습기,HMDFR,HUMIDIFIER,
748,가시,VSBLT,VISIBILITY,
749,가시광선,VSRAY,VISIBLE RAY,
750,가시선,LOS,LINE OF SIGHT,조준선
751,가시채널,VSBLCHN,VISIBLE CHANNEL,
752,가압,PRSR,PRESSURE,
753,가압류,PRVSZ,PROVISIONAL SEIZURE,
754,가액,VLPRC,VALUE PRICE,
755,가연성,INFM,INFLAMMABLE,
756,가옥,HS,HOUSE,
757,가외,EX,EXTRA,
758,가용,USEFL,USEFULNESS,
759,가용도,AVLBLT,AVAILABILITY,
760,가용량,AVLQNTY,AVAILABLE QUANTITY,
761,가용성,AVL,AVAILABLE,
762,가용액,AVLAMT,AVAILABLE AMOUNT,"가용금액,가용자금,가용자금액"
763,가용예산,AVBGT,AVAILABLE BUDGET,
764,가용요소구분코드,AVEMCLCD,AVAILABLE ELEMENT CLASSIFICATION CODE,
765,가용우회로,USBP,USEFULNESS BYPASSLANE,
766,가용자산,AVLAST,AVAILABLE ASSETS,
767,가용자산판단,AVATJG,AVAILABLE ASSET JUDGEMENT,
768,가운,GOWN,GOWN,
769,가위,SCSR,SCISSORS,
770,가위바위보,RPS,ROCK-PAPER-SCISSORS,
771,가을,AUTMN,AUTUMN,
772,가이드,GUIDE,GUIDE,
773,가입,ENTR,ENTRY,
774,가입률,ENTRRT,ENTRY RATE,가입율
775,가입비,SRBCT,SUBSCRIBE COST,
776,가입수수료,SSMMS,SUBSCRIBE COMMISSION,
777,가입유형,SSBYP,SUBSCRIBE TYPE,
778,가입일자,ENTRDT,ENTRY DATE,가입일
779,가입자내부식별자,IMEM,INTERNAL MEMBER,
780,가입자선로,SSCRN,SUBSCRIBER LINE,
781,가입제한,SSCBL,SUBSCRIBE LIMIT,
782,가입해지,SCBT,SUBSCRIBE TERMINATE,
783,가장,DSGS,DISGUISE,
784,가점,ADPNT,ADD POINT,
785,가정,ASMPT,ASSUMPTION,
786,가정환경,HOMEBG,A HOME BACKGROUND,
787,가져오기,BRNG,BRING,
788,가족,FMLY,FAMILY,
789,가족관계코드,FMLRLCD,FAMILY RELATIONSHIP CODE,
790,가족수당,FMLALW,FAMILY ALLOWANCE,
791,가족수당신청구분코드,FADCD,FAMILY ALLOWANCE APPLICATION DIVISION CODE,
792,가족수당신청상태코드,FASCD,FAMILY ALLOWANCE APPLICATION STATE CODE,
793,가족수당직업코드,FJCD,FAMILY ALLOWANCE JOB CODE,
794,가족여비,FMTRVEXP,FAMILY TRAVELING EXPENSES,
795,가족증감구분코드,FIDDCD,FAMILY INCREASE AND DECREASE DIVISION CODE,
796,가중,WGTNG,WEIGHTING,
797,가중이동평균,WMA,WEIGHTED MOVING AVERAGE,
798,가중처벌,AGRPNL,AGGRAVATED PENALTY,
799,가중치,WGT,WEIGHT,
800,가집행,PRSXCT,PROVISIONAL EXECUTION,
801,가집행선고,STVC,SENTENCE OF PROVISIONAL EXECUTION,
802,가처분,PRVDSP,PROVISIONAL DISPOSITION,
803,가청,AUDBLTY,AUDIBILITY,
804,가치,WRTH,WORTH,
805,가치관,OSV,ONE'S VALUE,
806,가치등급코드,WRTHCD,WORTH GRADE CODE,
807,가치평가,VALUAT,VALUATION,
808,가트,GATT,GATT,
809,가해자,HRMR,HARMER,
810,가혹행위,CRUEL,CRUEL,
811,각국,EVRCTR,EVERY COUNTRY,
812,각군,ECHARMY,EACH ARMY,
813,각급,ECHCLS,EACH CLASS,
814,각급기관,ENDNST,EVERY KIND OF INSTITUTION,
815,각도,ANG,ANGLE,각
816,각령,CBORD,CABINET ORDER,
817,각료,CNMSTR,CABINET MINISTER,
818,각목,SQRB,SQUARE BAR,
819,각서,WRTPRM,WRITTEN PROMISE,
820,각종,EVRKND,EVERY KIND,
821,각주,FTNT,FOOTNOTE,
822,각형,SQRSHP,SQUARE SHAPE,
823,각호,EVRDR,EVERY DOOR,
824,간,BTWN,BETWEEN,
825,간격,INTVL,INTERVAL,
826,간격극복자산유형코드,INTASSTYPCD,INTERVAL OVERCOME TYPE CODE,
827,간략,SMPLCT,SIMPLICITY,
828,간만,EBBFLW,THE EBB AND FLOW,
829,간만차,TDRG,TIDAL RANGE,
830,간병,NRSNG,NURSING,
831,간병인,CRGVR,CAREGIVER,
832,간부,PRCMB,PRINCIPAL MEMBER,
833,간부정례신체검사구분코드,PRCPHEXDVSCD,PRINCIPAL MEMBER PHYSICAL EXAMINATION DIVISION CODE,
834,간부정례신체검사판정코드,PRCPHEXJMTCD,PRINCIPAL MEMBER PHYSICAL EXAMINATION JUDGMENT CODE,
835,간사,ASSTADM,ASSISTANT ADMINISTRATOR,
836,간선도로,MNRD,MAIN ROAD,
837,간섭,INTRF,INTERFERENCE,
838,간소화,SMPLFC,SIMPLIFICATION,
839,간염,HEPATITIS,HEPATITIS,
840,간음,ADLTRY,ADULTERY,
841,간이,SIMPLCT,SIMPLICITY,
842,간이역,WAYSTN,WAY STATION,
843,간이인도,SMDVR,SUMMARY DELIVERY,
844,간장,SSAUC,SOY SAUCE,
845,간접,INDR,INDIRECT,
846,간접경비,INDEXP,INDIRECT EXPENSES,
847,간접노무비,INDLBCST,INDIRECT LABOR COST,간접노무비용
848,간접비,INDCST,INDIRECT COST,
849,간접이행금액,AMTINP,AMOUNT OF INDIRECT PERFORMANCE,간접이행금
850,간접재료비,INDMTCST,INDIRECT MATERIAL COST,간접재료비용
851,간접절충교역,INDOFS,INDIRECT OFFSET,
852,간조,ETIDE,EBB TIDE,
853,간주,REGARD,REGARD,
854,간질,EPLPSY,EPILEPSY,
855,간첩,SPY,SPY,
856,간행물,PRDCL,PERIODICAL,발간물
857,간호,NRSCR,NURSING CARE,
858,간호계획,NRSPLN,NURSING PLAN,
859,간호기록,NRSCRLG,NURSING CARE LOG,
860,간호문제,NRSPRBLM,NURSING PROBLEM,
861,간호사,NRS,NURSE,
862,간호일정,NUSCH,NURSING CARE SCHEDULE,
863,간호장교,NRSOFCR,NURSING OFFICER,
864,간호조무사,NSAID,NURSE AIDE,
865,간호처방,NUPRS,NURSING CARE PREION,
866,감가,RDPRC,REDUCTION IN PRICE,
867,감가상각,DPRC,DEPRECIATION,상각
868,감가상각누계액,AAOD,ACCUMULATED AMOUNT OF DEPRECIATION,"감가상각누계금액,감가상각누계금"
869,감가상각방법코드,DPMTHCD,DEPRECIATION METHOD CODE,
870,감가상각비,DPRCEXP,DEPRECIATION EXPENSE,"상각비,감가상각비용"
871,감가수정,PCRDCAMD,PRICE REDUCTION AMENDMENT,
872,감가액,AMTRD,AMOUNT OF REDUCTION,
873,감가율,RDRT,REDUCTION RATE,
874,감각,SNSTN,SENSATION,
875,감나무,PRSMMN,PERSIMMON,
876,감도,SNTVT,SENSITIVITY,
877,감독,DRTN,DIRECTION,
878,감독관,SPVSR,SUPERVISOR,
879,감독관업무보고,SPVBIZRPT,SUPERVISOR BUSINESS REPORT,
880,감독일자,DRTNDT,DIRECTION DATE,감독일
881,감리,AUDT,AUDIT,
882,감리관리,SPVMNGMT,SUPERVISION MANAGEMENT,
883,감마,GAMA,GAMMA,
884,감면,RXP,REDUCTION EXEMPTION,
885,감면구분코드,RXPDCD,REDUCTION EXEMPTION DIVISION CODE,
886,감면여부코드,RXPYNCD,REDUCTION EXEMPTION YES OR NO CODE,
887,감면처리코드,RXPPCD,REDUCTION EXEMPTION PROCESS CODE,
888,감모,DCRS,DECREASE,
889,감배,DIVRDC,REDUCTION OF DIVIDEND,
890,감봉,SLYRD,SALARY REDUCTION,
891,감사,AUDIT,AUDIT,
892,감사기관,ISPST,INSPECTION INSTITUTION,
893,감사실,AUDTOFC,AUDIT OFFICE,
894,감사원,BAI,BOARD OF AUDIT AND INSPECTION,
895,감사원소관코드,BAIJCD,BOARD OF AUDIT AND INSPECTION JURISDICTION CODE,
896,감사인,ADTOR,AUDITOR,
897,감사책임자,IPSPR,INSPECTION RESPONSIBLE PERSON,
898,감산,SBTN,SUBTRACTION,
899,감소,DECRS,DECREASE,
900,감소량,DCRSQTY,DECREASE QUANTITY,감소수량
901,감소액,DCRSAMT,DECREASE AMOUNT,"감소금액,감소금"
902,감속,DCEL,DECELERATION,
903,감손,DMNTN,DIMINUTION,
904,감손율,DCRSRT,DECREASE RATE,
905,감수,WLSBM,WILLING SUBMISSION,
906,감수성,SNSBLT,SENSIBILITY,
907,감시,SVNC,SURVEILLANCE,
908,감시구역,SVSCT,SURVEILLANCE SECTOR,
909,감시초소,GP,GUARD POST,"GP,초소"
910,감시초소번호,GPNO,GUARD POST NUMBER,
911,감압,DCMPRS,DECOMPRESSION,
912,감액,RDCT,REDUCTION,
913,감액산출신분구분코드,RCSCD,REDUCTION CALCULATION SOCIAL POSITION DIVISION CODE,
914,감액유형코드,RTCD,REDUCTION TYPE CODE,
915,감염,IFCTN,INFECTION,SEPTIC
916,감염상태,IFSTE,INFECTION STATE,
917,감염예방조치,IPRACT,INFECTION PREVENTION ACTION,
918,감염일자,IFCTNDT,INFECTION DATE,
919,감원,RDCFRC,REDUCTION IN FORCE,
920,감응,SENSOR,SENSOR,
921,감점,SBTPNT,SUBTRACT POINTS,
922,감정서,EXOPWRT,EXPERT OPINION IN WRITING,
923,감정증인,EXRTW,EXPERT WITNESS,
924,감정평가,APRSL,APPRAISAL,감정
925,감정평가기관,APRAGC,APPRAISAL AGENCY,감정평가원
926,감정평가액,APRSAMT,APPRAISAL AMOUNT,감정평가금액
927,감정평가일자,APPRDT,APPRAISAL DATE,"감정평가일,감정일자,감정일"
928,감지,SENS,SENSE,
929,감지기,SNSR,SENSOR,센서
930,감차,DCVHCL,DECREASING VEHICLES,
931,감찰,ISPTN,INSPECTION,
932,감찰참모,ISPSTF,INSPECTION STAFF,
933,감청,MNTRG,MONITORING,
934,감축,REDC,REDUCTION,
935,감편,RDORG,REDUCED ORGANIZATION,
936,감항,ARWRTHN,AIRWORTHINESS,
937,감항능력,SEAWRTHN,SEAWORTHINESS,
938,감항인증,AWRTHCTF,AIRWORTHINESS CERTIFICATION,
939,감항증명,ARTHCRT,AIRWORTHINESS CERTIFICATE,
940,갑,FRST,FIRST,
941,갑문,DCGT,DOCK GATE,도크게이트
942,갑반,FSTCLS,FIRST CLASS,
943,갑종사태,HHTFT,HIGHEST STATE OF ALERT,
944,갑판,DECK,DECK,데크
945,갑판번호,DECKNO,DECK NUMBER,
946,갑판상부적재,UPDKLOD,UPPERDECK LOADING,
947,갑판하부적재,DCKLD,DOWNDECK LOADING,
948,값,VAL,VALUE,VALUE
949,갓길,SHDRD,SHOULDER OF A ROAD,노견
950,강,RVR,RIVER,
951,강간,RAPE,RAPE,
952,강경,STRNG,STRONG,
953,강도,STRTH,STRENGTH,
954,강등,DGRDTN,DEGRADATION,
955,강력범죄,MAJCRM,MAJOR CRIME,
956,강매,FRPCH,FORCED PURCHASE,
957,강사,LCTR,LECTURER,
958,강서,GANGSEO,GANGSEO,
959,강설,SNW,SNOWING,
960,강설량,AMTSNW,AMOUNT OF SNOWING,
961,강수,PRCPT,PRECIPITATION,
962,강수강도,PRCINST,PRECIPITATION INTENSITY,
963,강수구분코드,PRCPTDVCD,PRECIPITATION DIVISION CODE,
964,강수량,AMTPRCPT,AMOUNT OF PRECIPITATION,
965,강수집중,PCTCNR,PRECIPITATION CONCENTRATION,
966,강습,CBTAST,COMBAT ASSAULT,
967,강습지원임무유형코드,CBATSPMSTYCD,COMBAT ASSAULT SUPPORT MISSION TYPE CODE,
968,강안,RVRSD,RIVERSIDE,
969,강약점,STWK,STRONG POINT(STRENGTH) AND WEAK POINT(WEAKNESS),
970,강우,RNFL,RAINFALL,
971,강우계,RNFLLMT,RAINFALL METER,
972,강우량,AMTRNFL,AMOUNT OF RAINFALL,
973,강원도,GWD,GANGWON-DO,강원
974,강원영동,GWYD,GANGWON YEONGDONG,
975,강의,LCT,LECTURE,
976,강의실,LCTRUM,LECTURE ROOM,
977,강임,DMTN,DEMOTION,
978,강점,SP,STRONG POINT,
979,강제,CPSN,COMPULSION,
980,강제보험,CPRY,COMPULSORY AUCTION,
981,강제이행,CPSPFMC,COMPULSORY PERFORMANCE,
982,강제전송,FRCTL,FORCE TELL,
983,강제전송표적,FRCTT,FORCE TELL TRACKS,
984,강제징수,CPRCLC,COMPULSORY COLLECTION,
985,강제처분,CPRSS,COMPULSORY DISPOSITION,
986,강제투표,CPSY,COMPULSORY VOTE,
987,강평,CRTQ,CRITIQUE,
988,강평서,CQDOC,CRITIQUE DOCUMENT,
989,강평일자,CRTQDT,CRITIQUE DATE,강평일
990,강평자,RVWR,REVIEWER,
991,강풍,STRWD,STRONG WIND,
992,강하,DIVE,DIVE,
993,강행,ENFRCMNT,ENFORCEMENT,
994,강행법,MTRYW,MANDATORY LAW,
995,강화,STRNGTH,STRENGTHENING,
996,강화운동,STREXE,STRENGTHENING EXERCISE,
997,개강,OPNCRS,OPENING A COURSE,
998,개구부,OPNNG,OPENING,개구
999,개년,YR,YEAR,
1000,개념,CNCPT,CONCEPT,
1001,개념연구,CCTRSCH,CONCEPT RESEARCH,
1002,개도국,DEVCNTRY,DEVELOPING COUNTRY,
1003,개략,OUTLN,OUTLINE,
1004,개략계획서,OPDOC,OUTLINE PLAN DOCUMENT,
1005,개량형재래식탄약,ICM,IMPROVED CONVENTIONAL MUNITION,
1006,개명,RENAME,RENAME,
1007,개문,OPENGT,OPENING THE GATE,
1008,개발,DVLP,DEVELOPMENT,
1009,개발관리기관코드,DMOCD,DEVELOPMENT MANAGEMENT ORGANIZATION CODE,
